abstract,url,snipper,lead_par,pub_date,type_of_material
Tips for a successful Thanksgiving.,https://www.nytimes.com/2021/11/19/us/coronavirus-briefing-what-happened-today.html,Tips for a successful Thanksgiving.,All adults in the U.S. who received two doses of the Moderna and Pfizer-BioNTech vaccines at least six months ago are now eligible for a booster shot.,2021-11-19T23:02:09+0000,News
The administration last week set Jan. 4 as the deadline for companies with 100 or more employees to mandate Covid vaccinations or implement weekly testing of workers.,https://www.nytimes.com/2021/11/07/health/biden-osha-vaccine-mandate.html,The administration last week set Jan. 4 as the deadline for companies with 100 or more employees to mandate Covid vaccinations or implement weekly testing of workers.,"The Biden administration is “prepared to defend” sweeping new coronavirus vaccine rules for large companies amid new legal challenges, Dr. Vivek Murthy, the surgeon general, said on Sunday.",2021-11-07T18:49:13+0000,News
"Across the country, parents and their young children lined up to receive Covid-19 vaccines after the Centers for Disease Control and Prevention recommended the Pfizer-BioNTech shot for children aged 5 through 11.",https://www.nytimes.com/video/health/100000008062155/children-covid-vaccine-campaign-begins.html,"Across the country, parents and their young children lined up to receive Covid-19 vaccines after the Centers for Disease Control and Prevention recommended the Pfizer-BioNTech shot for children aged 5 through 11.","Across the country, parents and their young children lined up to receive Covid-19 vaccines after the Centers for Disease Control and Prevention recommended the Pfizer-BioNTech shot for children aged 5 through 11.",2021-11-04T20:39:26+0000,Video
We need to learn the right lessons from our missteps.,https://www.nytimes.com/2021/11/18/opinion/covid-winter-risk.html,We need to learn the right lessons from our missteps.,"No one knows when the pandemic will end. But the worst of it may be over for the United States after this winter. For good reasons — growing vaccine eligibility, boosters and new antiviral treatments — and bad — high levels of prior infections — it’s possible the ongoing Delta surge could be the last major spike in hospitalizations and deaths for the United States.",2021-11-18T20:00:12+0000,Op-Ed
"The majority of active-duty troops have gotten a mandatory coronavirus vaccine ahead of deadline, with religious-based exemptions largely dismissed.",https://www.nytimes.com/2021/11/02/us/politics/vaccine-military-army.html,"The majority of active-duty troops have gotten a mandatory coronavirus vaccine ahead of deadline, with religious-based exemptions largely dismissed.","WASHINGTON — Two months after the Pentagon began requiring all troops to get the coronavirus vaccine or face dismissal, the vast majority have now had shots, in part because none received a religious exemption, military officials said.",2021-11-02T22:11:52+0000,News
"If the C.D.C. also signs off on broad booster requests by Moderna and Pfizer, every adult who was fully vaccinated with them at least six months ago would not only be eligible, but could choose which type of booster shot to get.",https://www.nytimes.com/2021/11/17/us/politics/moderna-boosters-adults-fda.html,"If the C.D.C. also signs off on broad booster requests by Moderna and Pfizer, every adult who was fully vaccinated with them at least six months ago would not only be eligible, but could choose which type of booster shot to get.","Moderna has asked federal regulators to authorize booster shots of its coronavirus vaccine for all adults, a request that the Food and Drug Administration could grant as early as this week along with a similar request from Pfizer, according to people familiar with the planning.",2021-11-17T20:15:24+0000,News
"Last week alone, 1.7 million young children were vaccinated, about double the previous week, a White House official said.",https://www.nytimes.com/2021/11/17/us/politics/white-house-covid-vaccine-children.html,"Last week alone, 1.7 million young children were vaccinated, about double the previous week, a White House official said.","The pace of vaccination against the coronavirus among newly eligible younger children is accelerating, and nearly 10 percent of the nation’s 5- to 11-year olds have already had their first shot, the White House estimated on Wednesday.",2021-11-17T18:45:15+0000,News
The latest news and data from the team tracking the coronavirus.,https://www.nytimes.com/interactive/2021/11/17/us/virus-data-thanksgiving.html,The latest news and data from the team tracking the coronavirus.,The latest news and data from the team tracking the coronavirus.,2021-11-17T15:21:04+0000,Interactive Feature
"This pandemic winter won’t be like the last one — but it won’t be “normal,” either.",https://www.nytimes.com/2021/11/16/opinion/covid-pandemic-end.html,"This pandemic winter won’t be like the last one — but it won’t be “normal,” either.",This article is part of the Debatable newsletter. You can sign up here to receive it on Tuesdays and Thursdays.,2021-11-16T23:00:06+0000,Op-Ed
"The latest data is reassuring. Myocarditis remains very uncommon, and it is almost always mild and temporary. The heart risk from Covid-19 itself is far greater.",https://www.nytimes.com/2021/11/01/health/covid-kids-children.html,"The latest data is reassuring. Myocarditis remains very uncommon, and it is almost always mild and temporary. The heart risk from Covid-19 itself is far greater.","Federal regulators are reviewing data on the link between Moderna’s coronavirus vaccine and a rare heart problem in adolescents, the company announced on Sunday. That side effect — myocarditis, an inflammation of the heart muscle — has also worried advisers to federal agencies in deliberations regarding use of the Pfizer-BioNTech vaccine in younger children and teenagers.",2021-11-01T21:44:28+0000,News
Federal regulators are considering a request to make all adults eligible for Pfizer-BioNTech’s Covid boosters. Colorado and two other states decided to broaden access anyway.,https://www.nytimes.com/2021/11/14/health/colorado-polis-booster-shots.html,Federal regulators are considering a request to make all adults eligible for Pfizer-BioNTech’s Covid boosters. Colorado and two other states decided to broaden access anyway.,"As federal regulators consider a request to expand eligibility of Pfizer-BioNTech’s coronavirus vaccine boosters to all adults, three states decided this past week to broaden access on their own.",2021-11-14T20:03:32+0000,News
Many parents have been anxiously waiting for the moment their 5- to 11-year-olds could be inoculated. That day has arrived.,https://www.nytimes.com/2021/11/03/us/children-covid-vaccines.html,Many parents have been anxiously waiting for the moment their 5- to 11-year-olds could be inoculated. That day has arrived.,"In Houston, Texas Children’s Hospital on Wednesday morning tackled the first of some 35,000 pediatric Covid-19 vaccine appointments, a rush that officials said had been booked in just five days. Nationally, Walgreens and CVS pharmacies opened appointment lines for millions of miniature doses. And amid a deluge of demand from parents desperate to get their children at least partially inoculated by Thanksgiving, Dr. Eric Ball realized he would have to skip some of his friend’s daughter’s bat mitzvah.",2021-11-03T09:00:10+0000,News
"With the agency director’s sign-off, children ages 5 to 11 could begin to receive the shots this week.",https://www.nytimes.com/2021/11/02/health/covid-vaccine-children-cdc.html,"With the agency director’s sign-off, children ages 5 to 11 could begin to receive the shots this week.","The Centers for Disease Control and Prevention on Tuesday formally endorsed the Pfizer-BioNTech coronavirus vaccine for children aged 5 through 11, a move that will buttress defenses against a possible surge as winter arrives and ease the worries of tens of millions of pandemic-weary parents.",2021-11-02T23:19:05+0000,News
"School nurses, who were already stretched thin before the pandemic, say that they are overworked and overwhelmed.",https://www.nytimes.com/2021/11/13/health/coronavirus-school-nurses.html,"School nurses, who were already stretched thin before the pandemic, say that they are overworked and overwhelmed.","When a junior high school student in western Oregon tested positive for the coronavirus last month, Sherry McIntyre, a school nurse, quarantined two dozen of the student’s football teammates. The players had spent time together in the locker room unmasked, and, according to local guidelines, they could not return to school for at least 10 days.",2021-11-13T10:00:13+0000,News
A “moral calm” is holding parents back from vaccinating their kids.,https://www.nytimes.com/2021/10/25/opinion/covid-vaccine-kids-parents.html,A “moral calm” is holding parents back from vaccinating their kids.,"Before the Covid-19 pandemic, a mother I interviewed as part of my study on pandemic parenting said, she never had a problem with vaccines. Her 2-year-old son got all his recommended immunizations on schedule. When it comes to the Covid-19 vaccines, however, the mother, who is white and has a college degree, says she isn’t so sure.",2021-10-25T09:00:13+0000,Op-Ed
"America’s top infectious disease official discusses the state of the coronavirus, booster shots, mandates and the end of the pandemic.",https://www.nytimes.com/2021/11/12/podcasts/the-daily/anthony-fauci-vaccine-mandates-booster-shots.html,"America’s top infectious disease official discusses the state of the coronavirus, booster shots, mandates and the end of the pandemic.","Dr. Anthony S. Fauci, the nation’s top infectious disease expert, described the current status of the pandemic in the United States as a “mixed bag” that is leaning more toward the positive than the negative. ",2021-11-12T11:01:50+0000,News
"Data shows the vaccines kept working through the Delta surge, though some groups were at higher risk of breakthrough infections or death.",https://www.nytimes.com/interactive/2021/10/28/us/covid-breakthrough-cases.html,"Data shows the vaccines kept working through the Delta surge, though some groups were at higher risk of breakthrough infections or death.","Data shows the vaccines kept working through the Delta surge, though some groups were at higher risk of breakthrough infections or death.",2021-10-28T15:50:59+0000,Interactive Feature
An advisory panel to the F.D.A. will consider Pfizer’s application for those ages 5-to-11 on Tuesday.,https://www.nytimes.com/2021/10/24/health/fauci-covid-vaccine-children-cdc.html,An advisory panel to the F.D.A. will consider Pfizer’s application for those ages 5-to-11 on Tuesday.,"Children ages 5 to 11 may be eligible for Covid vaccines by early next month, according to Dr. Anthony Fauci, the nation’s top infectious disease official. He projected a timetable for young Americans to be vaccinated with at least one dose by early November, and to be fully immunized by the holidays.",2021-10-24T17:50:21+0000,News
"The shot could bring relief to parents anxious about their children getting sick, though some experts worry that those most at risk may slip through the cracks.",https://www.nytimes.com/2021/10/29/us/politics/covid-vaccine-children.html,"The shot could bring relief to parents anxious about their children getting sick, though some experts worry that those most at risk may slip through the cracks.","WASHINGTON — The Food and Drug Administration on Friday authorized Pfizer-BioNTech’s coronavirus vaccine for emergency use in children 5 to 11, a move eagerly anticipated by millions of families looking to protect some of the only remaining Americans left out of the vaccination campaign.",2021-10-29T15:49:09+0000,News
"In a turnaround, the agency is expected to grant the request before the winter holiday season, giving access to all 181 million fully vaccinated people.",https://www.nytimes.com/2021/11/09/health/pfizer-booster-eligibility-adults.html,"In a turnaround, the agency is expected to grant the request before the winter holiday season, giving access to all 181 million fully vaccinated people.","WASHINGTON — Pfizer and BioNTech asked federal regulators Tuesday to authorize their coronavirus booster shot for those 18 and older, a move that would likely make every adult in America eligible for an extra injection.",2021-11-10T00:17:25+0000,News
The agency said that a booster could be administered at least six months after severely or moderately immunocompromised adults received a third dose of an mRNA vaccine that was authorized over the summer just for them.,https://www.nytimes.com/2021/10/27/health/cdc-vaccine-fourth-dose-immunocompromised.html,The agency said that a booster could be administered at least six months after severely or moderately immunocompromised adults received a third dose of an mRNA vaccine that was authorized over the summer just for them.,"Some American adults with weakened immune systems who received a third dose of either the Pfizer-BioNTech or Moderna coronavirus vaccine authorized just for them will become eligible for a fourth shot as a booster next year, according to updated guidelines from the Centers for Disease Control and Prevention.",2021-10-27T23:21:21+0000,News
The partisan gap in Covid’s death toll has grown faster over the past month than at any previous point.,https://www.nytimes.com/2021/11/08/briefing/covid-death-toll-red-america.html,The partisan gap in Covid’s death toll has grown faster over the past month than at any previous point.,"As 2020 wound down, there were good reasons to believe that the death toll during the pandemic’s first year might have been worse in red America. There were also good reasons to think it might have been worse in blue America.",2021-11-08T11:28:16+0000,briefing
Younger children in the U.S. who are now getting their first shots of the Pfizer-BioNTech vaccine will not reach full protection until after Thanksgiving.,https://www.nytimes.com/2021/11/04/us/covid-vaccine-children-holidays.html,Younger children in the U.S. who are now getting their first shots of the Pfizer-BioNTech vaccine will not reach full protection until after Thanksgiving.,"With coronavirus vaccinations of children aged 5 to 11 beginning in the United States this week, parents may be wondering whether their families will now be able to gather safely for the holidays.",2021-11-04T17:59:44+0000,News
"Far more law enforcement officers in the U.S. have died from Covid-19 than from any other work-related cause in 2020 and 2021. Even so, police unions are fighting vaccine mandates.",https://www.nytimes.com/2021/10/12/us/police-covid-vaccines.html,"Far more law enforcement officers in the U.S. have died from Covid-19 than from any other work-related cause in 2020 and 2021. Even so, police unions are fighting vaccine mandates.","BAKER, La. — Over the last year and a half, a majority of the roughly 40 police officers who patrol Baker, La., a suburb of Baton Rouge, tested positive for the coronavirus. All of them recovered and went back to work — until Lt. DeMarcus Dunn got sick.",2021-10-12T16:02:18+0000,News
The F.D.A. may authorize booster shots of vaccines different from the ones that Americans originally received. The science behind the move is promising.,https://www.nytimes.com/2021/10/19/health/covid-vaccine-mix-match.html,The F.D.A. may authorize booster shots of vaccines different from the ones that Americans originally received. The science behind the move is promising.,"The Food and Drug Administration seems likely to allow Americans to switch vaccines when choosing a Covid-19 booster shot. That authorization, which could come this week, is the latest development in a long-running debate over whether a mix-and-match strategy helps protect people from the coronavirus.",2021-10-19T14:24:01+0000,News
"“We are planning on some vaccinations towards the end of this week,” said Jeffrey D. Zients, a top White House official, adding that the government will deliver a total of 15 million doses “across the next week or so.”",https://www.nytimes.com/2021/11/01/us/politics/pfizer-children-covid-vaccine.html,"“We are planning on some vaccinations towards the end of this week,” said Jeffrey D. Zients, a top White House official, adding that the government will deliver a total of 15 million doses “across the next week or so.”","Though several million pediatric doses of Pfizer-BioNTech’s coronavirus vaccine should be available in the next few days, the vaccination program for children aged 5 to 11 in the United States will only start “running at full strength” in the second week of November, a top White House official said on Monday.",2021-11-01T19:30:51+0000,News
Those eligible for the extra shot would include adults over 65 and others at high risk — the same groups now eligible for a Pfizer-BioNTech boost,https://www.nytimes.com/2021/10/14/us/politics/fda-moderna-vaccine-boosters.html,Those eligible for the extra shot would include adults over 65 and others at high risk — the same groups now eligible for a Pfizer-BioNTech boost,"WASHINGTON — A panel of independent medical experts on Thursday unanimously recommended Moderna booster shots for many of those who had received the company’s coronavirus vaccine, paving the way to sharply expand the number of people eligible for an additional shot in the United States.",2021-10-14T23:41:33+0000,News
Many Americans said they’d quit if required to take their shots. Luckily they didn’t.,https://www.nytimes.com/2021/09/30/opinion/vaccine-mandates-republicans.html,Many Americans said they’d quit if required to take their shots. Luckily they didn’t.,"Three weeks ago President Biden announced plans to require Covid-19 vaccinations — or, in some cases, weekly testing as an alternative — for most U.S. workers. There were immediate predictions that the move would backfire, that it would only stiffen vaccine resistance. Indeed, some surveys suggested that as many as half of unvaccinated workers would quit their jobs rather than take their shots.",2021-09-30T23:00:08+0000,Op-Ed
"Black Americans were once far less likely than white Americans to be vaccinated. But a wave of pro-vaccine campaigns and a surge of virus deaths have narrowed that gap, experts say.",https://www.nytimes.com/2021/10/13/us/black-americans-vaccine-tuskegee.html,"Black Americans were once far less likely than white Americans to be vaccinated. But a wave of pro-vaccine campaigns and a surge of virus deaths have narrowed that gap, experts say.","To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.",2021-10-13T23:17:50+0000,News
"With vaccines soon available to kids 5 and up, planning should start now.",https://www.nytimes.com/2021/10/29/opinion/mask-kids-vaccine.html,"With vaccines soon available to kids 5 and up, planning should start now.","Mandatory masking at schools has been among the biggest issues in the country over the past few months, with instances of mask opponents berating and threatening school board meeting attendees. The topic has become highly politicized, and it’s sure to get even more contentious now that the Food and Drug Administration has authorized the emergency use of the Pfizer-BioNTech vaccine for children ages 5 to 11.",2021-10-30T00:47:08+0000,Op-Ed
Federal scientists estimated that more than 40 percent of children aged 5 to 11 had been infected with the coronavirus by June. Outside experts aren’t so sure.,https://www.nytimes.com/2021/10/28/health/covid-vaccine-children.html,Federal scientists estimated that more than 40 percent of children aged 5 to 11 had been infected with the coronavirus by June. Outside experts aren’t so sure.,"A startling statistic emerged as advisers to the Food and Drug Administration on Tuesday debated use of the Pfizer-BioNTech Covid-19 vaccine in children ages 5 to 11. According to one federal scientist, by June an estimated 42 percent of these children had already been infected with the coronavirus.",2021-10-28T21:56:15+0000,News
"The number of eligible people still weighing whether to get a Covid vaccine has sharply dwindled, leaving an unvaccinated population that is mostly hard-core refusers.",https://www.nytimes.com/2021/10/11/health/covid-boosters-unvaccinated.html,"The number of eligible people still weighing whether to get a Covid vaccine has sharply dwindled, leaving an unvaccinated population that is mostly hard-core refusers.","Vaccinated people have been burning up the phone lines at the community health center in rural Franklin, La., clamoring for the newly authorized Covid booster shot.",2021-10-11T18:00:11+0000,News
The bank will consider requests for medical and religious exemptions.,https://www.nytimes.com/2021/10/28/business/citigroup-vaccine-mandate.html,The bank will consider requests for medical and religious exemptions.,"Citigroup told employees on Thursday that it would require vaccination against Covid-19 as a condition of employment in the United States, making it the first major bank to issue such a mandate.",2021-10-28T21:19:16+0000,News
"The companies said that their vaccine was safe and effective in that age group, and that they would submit a formal request in the coming weeks to U.S. regulators to allow a pediatric dose.",https://www.nytimes.com/2021/09/28/health/pfizer-vaccine-children.html,"The companies said that their vaccine was safe and effective in that age group, and that they would submit a formal request in the coming weeks to U.S. regulators to allow a pediatric dose.",WASHINGTON — Pfizer and BioNTech announced on Tuesday that they had submitted data to the Food and Drug Administration that the companies said showed their coronavirus vaccine is safe and effective in children ages 5 to 11.,2021-09-28T22:24:35+0000,News
"President Biden received his third dose of the Pfizer-BioNTech coronavirus vaccine, days after federal regulators approved Pfizer boosters for Americans 65 years and older, as well as those with medical conditions and jobs placing them at higher risk.",https://www.nytimes.com/video/us/politics/100000007995431/biden-booster-pfizer-coronavirus-vaccine.html,"President Biden received his third dose of the Pfizer-BioNTech coronavirus vaccine, days after federal regulators approved Pfizer boosters for Americans 65 years and older, as well as those with medical conditions and jobs placing them at higher r...","President Biden received his third dose of the Pfizer-BioNTech coronavirus vaccine, days after federal regulators approved Pfizer boosters for Americans 65 years and older, as well as those with medical conditions and jobs placing them at higher risk.",2021-09-27T18:04:40+0000,Video
"Myocarditis, a rare side effect, occurs mostly after the second dose. So in some countries, officials are trying out single doses for children.",https://www.nytimes.com/2021/10/06/health/covid-vaccine-children-dose.html,"Myocarditis, a rare side effect, occurs mostly after the second dose. So in some countries, officials are trying out single doses for children.","Even as parents in the United States wrestle with difficult questions over vaccinating their children against the coronavirus, families in other countries have been offered a novel option: giving children just one dose of the vaccine.",2021-10-06T23:22:41+0000,News
The Biden administration has announced that it would lift travel restrictions on Nov. 8 and reopen the United States to fully vaccinated international travelers.,https://www.nytimes.com/2021/10/25/us/politics/vaccine-mandate-travel-us.html,The Biden administration has announced that it would lift travel restrictions on Nov. 8 and reopen the United States to fully vaccinated international travelers.,"Children under the age of 18 who are unvaccinated against the coronavirus, and a limited category of foreigners arriving from countries with low vaccination rates, are among the travelers exempted from forthcoming requirements that will determine who can enter the United States, Biden administration officials said on Monday.",2021-10-25T18:07:31+0000,News
Don’t miss this opportunity to model empathy.,https://www.nytimes.com/2021/10/06/opinion/culture/kids-covid-vaccines-parenting.html,Don’t miss this opportunity to model empathy.,"If you’ve dipped even a toe into the kiddie pool of modern parenting politics, then you’re probably aware that it’s actually a shark tank. Confess your love for the convenience of school lunches and expect a pitying smile. A far more withering gaze will meet any mention of a Happy Meal or a decision to stop breastfeeding. Making choices for our children often feels like a high-stakes game show in which there is only one right answer and everyone is shouting their own version of it at you.",2021-10-06T19:52:07+0000,Op-Ed
It is a stark signal of what the agency’s scientists said was a need for U.S. health officials to remove barriers to access.,https://www.nytimes.com/2021/09/30/health/covid-vaccine-disabilities.html,It is a stark signal of what the agency’s scientists said was a need for U.S. health officials to remove barriers to access.,"Americans with a disability were more likely to want coronavirus vaccines but were having a harder time getting them than other people, according to data released on Thursday by the Centers for Disease Control and Prevention, a stark signal of what the agency’s scientists said was a need for health officials to remove barriers to access.",2021-09-30T17:00:08+0000,News
The big barrier to higher rates in both countries is stiff resistance among specific groups.,https://www.nytimes.com/2021/10/24/world/united-states-israel-vaccination-rates.html,The big barrier to higher rates in both countries is stiff resistance among specific groups.,"The United States was one of the first countries to begin vaccinating its population, and by summer, was leading most nations in getting shots in arms, with 67 percent of the population receiving at least one shot by July 4. ",2021-10-24T13:59:51+0000,News
A look at the administration’s decision to require shots for millions of Americans.,https://www.nytimes.com/2021/09/13/podcasts/the-daily/joe-biden-vaccine-mandates-coronavirus.html,A look at the administration’s decision to require shots for millions of Americans.,"As recently as a month ago, President Biden appeared to be skeptical about imposing coronavirus vaccine mandates. Now that skepticism has given way to a suite of policies that aim to force the hands of the unvaccinated.",2021-09-13T08:01:34+0000,News
Tens of millions of Americans have the green light to seek out the extra shots.,https://www.nytimes.com/2021/10/22/us/booster-shot-rollout.html,Tens of millions of Americans have the green light to seek out the extra shots.,"Now that federal regulators have cleared booster shots of all three coronavirus vaccines in use in the United States, state health authorities and pharmacies have begun rolling out plans to get even more shots in arms.",2021-10-22T19:40:44+0000,News
"The finding came from a study of Americans who got their third vaccine dose in August and September, and provided a reassuring sign about the safety of additional doses.",https://www.nytimes.com/2021/09/28/health/third-covid-vaccine-side-effects.html,"The finding came from a study of Americans who got their third vaccine dose in August and September, and provided a reassuring sign about the safety of additional doses.","Americans who received a third dose of a coronavirus vaccine in recent weeks reported side effects at roughly the same rates as they had after their second shots, the Centers for Disease Control and Prevention said on Tuesday, a reassuring sign about the safety of additional doses.",2021-09-28T17:24:37+0000,News
"Schools have reopened around the country, and families with those under 12 are finding ways to get their kids inoculated, even though they’re not officially eligible yet.",https://www.nytimes.com/2021/09/11/health/children-covid-vaccine-trials.html,"Schools have reopened around the country, and families with those under 12 are finding ways to get their kids inoculated, even though they’re not officially eligible yet.","Leng Vong Reiff had just received her second dose of a Covid vaccine and thought guiltily of her two young, unvaccinated sons. So she began banging away at her keyboard.",2021-09-11T16:00:11+0000,News
Vaccines work. But a mandate by the federal executive is an overreach that may backfire.,https://www.nytimes.com/2021/09/10/opinion/politics/biden-vaccine-mandate.html,Vaccines work. But a mandate by the federal executive is an overreach that may backfire.,There’s one person that President Biden desperately needs to consult about his new federal vaccine mandate: President-elect Biden.,2021-09-10T09:41:55+0000,Op-Ed
"While fully vaccinated Americans can fly to hundreds of cities and towns across the country and 27 European capitals, border rules across Asia remain far stricter than in any other region in the world.",https://www.nytimes.com/2021/10/21/world/asia/asia-travel-rules.html,,"While fully vaccinated Americans can fly to hundreds of cities and towns across the country and 27 European capitals, border rules across Asia remain far stricter than in any other region in the world.",2021-10-21T12:29:58+0000,News
"White House officials, anticipating the approval of coronavirus shots for 5- to 11-year-olds within weeks, will rely on doctors, clinics and pharmacies instead of mass inoculation sites.",https://www.nytimes.com/2021/10/20/us/politics/kids-covid-vaccination.html,"White House officials, anticipating the approval of coronavirus shots for 5- to 11-year-olds within weeks, will rely on doctors, clinics and pharmacies instead of mass inoculation sites.",WASHINGTON — The campaign to vaccinate young children in the United States against the coronavirus will not look like the adult version. There will be no mass inoculation sites. Pediatricians will be enlisted to help work with parents. Even the vials — and the needles to administer doses — will be smaller.,2021-10-20T09:00:16+0000,News
Anti-vaccine activists are more politically savvy and dangerous than ever before.,https://www.nytimes.com/2021/08/31/opinion/anti-vaccine-movement.html,Anti-vaccine activists are more politically savvy and dangerous than ever before.,"As the coronavirus began pushing the nation into lockdown in March 2020, Joshua Coleman, an anti-vaccine campaigner who organizes anti-vaccine rallies, went on Facebook Live to give his followers a rallying speech. He laid out what he thought the pandemic really was: an opportunity.",2021-08-31T19:13:32+0000,Op-Ed
"As the president took forceful new steps to pressure Americans to get inoculated, he argued that they were urgently needed health measures. In his allies’ view, they were also good politics.",https://www.nytimes.com/2021/09/10/us/politics/biden-vaccine.html,"As the president took forceful new steps to pressure Americans to get inoculated, he argued that they were urgently needed health measures. In his allies’ view, they were also good politics.","FAIRFAX, Va. — Terry Orie, a 61-year-old real estate agent, has skipped vacations because of the pandemic. She has canceled plans with friends. She has bristled at the frustrations of communicating with clients when everybody is wearing masks.",2021-09-10T23:44:45+0000,News
Pregnancy is among the health conditions that the agency says increase the risk of severe Covid.,https://www.nytimes.com/2021/09/29/health/cdc-pregnancy-covid-vaccine.html,Pregnancy is among the health conditions that the agency says increase the risk of severe Covid.,"In an urgent plea, federal health officials are asking that any American who is pregnant, planning to become pregnant or currently breastfeeding get vaccinated against the coronavirus as soon as possible.",2021-09-29T20:44:26+0000,News
The panel was not asked to judge whether people who received the Moderna and Johnson & Johnson vaccines should receive Pfizer-BioNTech boosters.,https://www.nytimes.com/2021/09/23/science/moderna-johnson-covid-boosters.html,The panel was not asked to judge whether people who received the Moderna and Johnson & Johnson vaccines should receive Pfizer-BioNTech boosters.,"A committee of scientific advisers to the Centers for Disease Control and Prevention voted on Thursday to recommend booster doses of the Pfizer-BioNTech coronavirus vaccine to many Americans who were fully inoculated with the same vaccine. The panel advised that those booster shots go to older Americans and people with certain medical conditions, but excluded those at risk because of their jobs.",2021-09-23T22:28:07+0000,News
The F.D.A.’s full approval of the Pfizer-BioNTech coronavirus shot gives companies more cover to require vaccinations for workers.,https://www.nytimes.com/2021/08/24/business/dealbook/pfizer-fda-covid-vaccine-mandates.html,The F.D.A.’s full approval of the Pfizer-BioNTech coronavirus shot gives companies more cover to require vaccinations for workers.,"The F.D.A. granted full approval to the Pfizer-BioNTech coronavirus shots for people 16 and older yesterday, the fastest vaccine approval in the agency’s history. (Although, perhaps, not fast enough.) President Biden seized on the moment. “If you’re a business leader, a nonprofit leader, a state or local leader, who has been waiting for full F.D.A. approval to require vaccinations, I call on you now to do that,” he said. “Require it.”",2021-08-24T12:00:39+0000,News
A series of announcements has upended the rules for entry into the United States. Here’s what you need to know.,https://www.nytimes.com/interactive/2021/10/19/travel/new-travel-rules.html,A series of announcements has upended the rules for entry into the United States. Here’s what you need to know.,A series of announcements has upended the rules for entry into the United States. Here’s what you need to know.,2021-10-19T17:20:26+0000,Interactive Feature
"The latest Covid-19 deaths were concentrated in the South, and included more younger people than before. Every age group under 55 saw its highest death toll of the pandemic this August.",https://www.nytimes.com/2021/10/01/us/us-covid-deaths-700k.html,"The latest Covid-19 deaths were concentrated in the South, and included more younger people than before. Every age group under 55 saw its highest death toll of the pandemic this August.","The United States surpassed 700,000 deaths from the coronavirus on Friday, a milestone that few experts had anticipated months ago when vaccines became widely available to the American public.",2021-10-01T14:08:24+0000,News
"The Board of Education voted, 6-0, to pass the measure, making Los Angeles the first major school district in the United States to mandate coronavirus vaccines for students 12 and older who are attending class in person.",https://www.nytimes.com/video/us/100000007966861/los-angeles-schools-vaccine-mandate-students.html,"The Board of Education voted, 6-0, to pass the measure, making Los Angeles the first major school district in the United States to mandate coronavirus vaccines for students 12 and older who are attending class in person.","The Board of Education voted, 6-0, to pass the measure, making Los Angeles the first major school district in the United States to mandate coronavirus vaccines for students 12 and older who are attending class in person.",2021-09-10T19:36:05+0000,Video
"Championed by doctors and conservative radio hosts alike, monoclonal antibodies for Covid are in high demand — even from those who don’t want a vaccine.",https://www.nytimes.com/2021/09/18/health/covid-antibody-regeneron.html,"Championed by doctors and conservative radio hosts alike, monoclonal antibodies for Covid are in high demand — even from those who don’t want a vaccine.","Lanson Jones did not think that the coronavirus would come for him. An avid tennis player in Houston who had not caught so much as a cold during the pandemic, he had refused a vaccine because he worried that it would spoil his streak of good health.",2021-09-18T09:00:13+0000,News
An examination of hundreds of health departments around the country shows that the nation may be less prepared for the next pandemic than it was for the current one.,https://www.nytimes.com/2021/10/18/us/coronavirus-public-health.html,An examination of hundreds of health departments around the country shows that the nation may be less prepared for the next pandemic than it was for the current one.,"PORT ANGELES, Wash. — As she leaves work, Dr. Allison Berry keeps a vigilant eye on her rearview mirror, watching the vehicles around her, weighing if she needs to take a more circuitous route home. She must make sure nobody finds out where she lives.",2021-10-18T07:00:12+0000,News
Some experts cautioned that the results from President Biden’s aggressive plan would take many weeks to unfold.,https://www.nytimes.com/2021/09/10/health/scientists-vaccines.html,Some experts cautioned that the results from President Biden’s aggressive plan would take many weeks to unfold.,"President Biden’s new coronavirus vaccine mandates will have sweeping ramifications for businesses, schools and the political discourse in the United States. But for many scientists, the question is a simpler one: Will these measures turn back a surging pandemic?",2021-09-10T15:38:44+0000,News
"The group forecast that the worldwide economy would grow 5.7 percent in 2021, slightly lower than its previous estimate.",https://www.nytimes.com/2021/09/21/business/uneven-global-vaccination-threatens-economic-rebound-oecd-warns.html,"The group forecast that the worldwide economy would grow 5.7 percent in 2021, slightly lower than its previous estimate.","PARIS — A global recovery from the pandemic is finally taking hold as rising vaccination rates in advanced economies allow governments to keep businesses open and people to resume leading largely normal lives, the Organization for Economic Cooperation and Development said on Tuesday.",2021-09-21T10:31:55+0000,News
Science can find a cure for our diseases but not for our societal ills.,https://www.nytimes.com/2021/10/15/opinion/covid-vaccines-unvaccinated.html,Science can find a cure for our diseases but not for our societal ills.,"Back when a viral pandemic killing millions around the world was just the plot of a scary movie, the film “Contagion” was lauded for how accurately it depicted the way such an outbreak would occur.",2021-10-15T09:00:24+0000,Op-Ed
